id,comment,label,comment_w_tone,combine_comment
train_009108,cẩn thận kiểm tra trước khi nhận hàng,1,can than kiem tra truoc khi nhan hang,cẩn thận kiểm tra trước khi nhận hàng can than kiem tra truoc khi nhan hang
train_000719,đúng là k thể tin vào hàng quần áo qua mạng,1,dung la k the tin vao hang quan ao qua mang,đúng là k thể tin vào hàng quần áo qua mạng dung la k the tin vao hang quan ao qua mang
train_012713,shop lừa đảo các bạn không nêb mua,1,shop lua dao cac ban khong neb mua,shop lừa đảo các bạn không nêb mua shop lua dao cac ban khong neb mua
train_013838,chất lượng sản phẩm tuyệt vời sẽ ủng hộ shop,0,chat luong san pham tuyet voi se ung ho shop,chất lượng sản phẩm tuyệt vời sẽ ủng hộ shop chat luong san pham tuyet voi se ung ho shop
train_010858,mỏng như lá lúa nhỏ xíu,1,mong nhu la lua nho xiu,mỏng như lá lúa nhỏ xíu mong nhu la lua nho xiu
train_002692,may rat do luc may thi keu rat to noi chung la dol lam,0,may rat do luc may thi keu rat to noi chung la dol lam,may rat do luc may thi keu rat to noi chung la dol lam may rat do luc may thi keu rat to noi chung la dol lam
train_004862,son rất đẹp hàng đóng gói kĩ và giao hàng rất nhanh,0,son rat dep hang dong goi ki va giao hang rat nhanh,son rất đẹp hàng đóng gói kĩ và giao hàng rất nhanh son rat dep hang dong goi ki va giao hang rat nhanh
train_013293,đã nhận hàng đồng hồ đẹp khi nào giảm giá mua cái nữa cơ mà ghét shiper giao hàng chậm báo cáo láo,0,da nhan hang dong ho dep khi nao giam gia mua cai nua co ma ghet shiper giao hang cham bao cao lao,đã nhận hàng đồng hồ đẹp khi nào giảm giá mua cái nữa cơ mà ghét shiper giao hàng chậm báo cáo láo da nhan hang dong ho dep khi nao giam gia mua cai nua co ma ghet shiper giao hang cham bao cao lao
train_009037,hang thi ok ma giao hang bao lau,1,hang thi ok ma giao hang bao lau,hang thi ok ma giao hang bao lau hang thi ok ma giao hang bao lau
train_004746,chất lượng sản phẩm tuyệt vời dù shop giao nhầm màu giày thì chật nhưng chất lượng ok,0,chat luong san pham tuyet voi du shop giao nham mau giay thi chat nhung chat luong ok,chất lượng sản phẩm tuyệt vời dù shop giao nhầm màu giày thì chật nhưng chất lượng ok chat luong san pham tuyet voi du shop giao nham mau giay thi chat nhung chat luong ok
train_008664,bị chảy mực ra ngoài,1,bi chay muc ra ngoai,bị chảy mực ra ngoài bi chay muc ra ngoai
train_011345,đọc lúc đầu thì vui đoạn sau thấy như hơi bị thừa nhiều chỗ như truyện 18,1,doc luc dau thi vui doan sau thay nhu hoi bi thua nhieu cho nhu truyen 18,đọc lúc đầu thì vui đoạn sau thấy như hơi bị thừa nhiều chỗ như truyện 18 doc luc dau thi vui doan sau thay nhu hoi bi thua nhieu cho nhu truyen 18
train_005329,tả mỏng miếng dán ko dính còn bị rách nhỏ hơn size chuẩn miếng nào cũng z bé nhà mình 5kg chọn size s mà ko dán được chất lượng sản phẩm rất kém,1,tả mỏng miéng dán ko dính còn bị rách nhỏ hon size chuản miéng nào cũng z bé nhà mình 5kg chọn size s mà ko dán duọc chat luong san pham rat kem,tả mỏng miếng dán ko dính còn bị rách nhỏ hơn size chuẩn miếng nào cũng z bé nhà mình 5kg chọn size s mà ko dán được chất lượng sản phẩm rất kém tả mỏng miéng dán ko dính còn bị rách nhỏ hon size chuản miéng nào cũng z bé nhà mình 5kg chọn size s mà ko dán duọc chat luong san pham rat kem
train_002161,sai lầm ngu xuẩn nhất là tôi đã bỏ ra 400k để mua bộ bình này cho chú chó cưng nhà tôi thanh gạt ẻo lả điều chỉnh không được lúc nào cũng có khe hở để mùi thức ăn bay khắp nhà nói là bảo quản thức ăn khô ráo không ẩm mốc là nói xạo kiến vào bu đầy tóm lại là đừng ai sai lầm mà mua nó mất tiền mà ấm ức như tôi,1,sai lam ngu xuan nhat la toi da bo ra 400k de mua bo binh nay cho chu cho cung nha toi thanh gat eo la dieu chinh khong duoc luc nao cung co khe ho de mui thuc an bay khap nha noi la bao quan thuc an kho rao khong am moc la noi xao kien vao bu day tom lai la dung ai sai lam ma mua no mat tien ma am uc nhu toi,sai lầm ngu xuẩn nhất là tôi đã bỏ ra 400k để mua bộ bình này cho chú chó cưng nhà tôi thanh gạt ẻo lả điều chỉnh không được lúc nào cũng có khe hở để mùi thức ăn bay khắp nhà nói là bảo quản thức ăn khô ráo không ẩm mốc là nói xạo kiến vào bu đầy tóm lại là đừng ai sai lầm mà mua nó mất tiền mà ấm ức như tôi sai lam ngu xuan nhat la toi da bo ra 400k de mua bo binh nay cho chu cho cung nha toi thanh gat eo la dieu chinh khong duoc luc nao cung co khe ho de mui thuc an bay khap nha noi la bao quan thuc an kho rao khong am moc la noi xao kien vao bu day tom lai la dung ai sai lam ma mua no mat tien ma am uc nhu toi
train_009633,ngon vãi,0,ngon vai,ngon vãi ngon vai
train_015167,giao nhầm mẫu cho mình nhưng thôi ks vẫn cho shop 5*,0,giao nham mau cho minh nhung thoi ks van cho shop 5*,giao nhầm mẫu cho mình nhưng thôi ks vẫn cho shop 5* giao nham mau cho minh nhung thoi ks van cho shop 5*
train_015361,mình thích mùi đào hơn cả 2 không giữ hương được lâu lắm trên da mình dù gì cũng tiền nào của đó nên không đòi hỏi gì nhiều bao bì dễ thương nhỏ gọn mang theo touch up tiện,0,minh thich mui dao hon ca 2 khong giu huong duoc lau lam tren da minh du gi cung tien nao cua do nen khong doi hoi gi nhieu bao bi de thuong nho gon mang theo touch up tien,mình thích mùi đào hơn cả 2 không giữ hương được lâu lắm trên da mình dù gì cũng tiền nào của đó nên không đòi hỏi gì nhiều bao bì dễ thương nhỏ gọn mang theo touch up tiện minh thich mui dao hon ca 2 khong giu huong duoc lau lam tren da minh du gi cung tien nao cua do nen khong doi hoi gi nhieu bao bi de thuong nho gon mang theo touch up tien
train_012190,ốp đẹp nhìn rất thích mắt,0,op dep nhin rat thich mat,ốp đẹp nhìn rất thích mắt op dep nhin rat thich mat
train_000027,toàn hàng trungkhi mua quên ko coi kĩ,1,toan hang trungkhi mua quen ko coi ki,toàn hàng trungkhi mua quên ko coi kĩ toan hang trungkhi mua quen ko coi ki
train_008851,combo 5 sp giao combo 4sp 5 thành 4 bớt 1 là sao,1,combo 5 sp giao combo 4sp 5 thanh 4 bot 1 la sao,combo 5 sp giao combo 4sp 5 thành 4 bớt 1 là sao combo 5 sp giao combo 4sp 5 thanh 4 bot 1 la sao
train_003028,thời gian giao hàng rất nhanh đầu núm mỏng,0,thoi gian giao hang rat nhanh dau num mong,thời gian giao hàng rất nhanh đầu núm mỏng thoi gian giao hang rat nhanh dau num mong
train_008186,chất lượng sản phẩm tuyệt vời rất đáng tiền sản phẩm y hình nc ưng ý,0,chat luong san pham tuyet voi rat dang tien san pham y hinh nc ung y,chất lượng sản phẩm tuyệt vời rất đáng tiền sản phẩm y hình nc ưng ý chat luong san pham tuyet voi rat dang tien san pham y hinh nc ung y
train_000860,c chủ và nhân viên dễ thương vui vẻ sẽ ủng hộ dài dài,0,c chu va nhan vien de thuong vui ve se ung ho dai dai,c chủ và nhân viên dễ thương vui vẻ sẽ ủng hộ dài dài c chu va nhan vien de thuong vui ve se ung ho dai dai
train_001624,tem nhãn ok hàng dùng ok đã dùng dc 1 tuần và thấy ngon lành cành đào ]],0,tem nhan ok hang dung ok da dung dc 1 tuan va thay ngon lanh canh dao ]],tem nhãn ok hàng dùng ok đã dùng dc 1 tuần và thấy ngon lành cành đào ]] tem nhan ok hang dung ok da dung dc 1 tuan va thay ngon lanh canh dao ]]
train_012973,chất lượng sản phẩm tuyệt vời các bạn nào nên mua đẹp mang rất êm chân,0,chat luong san pham tuyet voi cac ban nao nen mua dep mang rat em chan,chất lượng sản phẩm tuyệt vời các bạn nào nên mua đẹp mang rất êm chân chat luong san pham tuyet voi cac ban nao nen mua dep mang rat em chan
train_002297,đóng góii đuọc,1,dong goii duoc,đóng góii đuọc dong goii duoc
train_005954,mua về chưng chứ ko chạy đi nha m n rất không đáng tiền chất lượng sản phẩm rất kém,1,mua ve chung chu ko chay di nha m n rat khong dang tien chat luong san pham rat kem,mua về chưng chứ ko chạy đi nha m n rất không đáng tiền chất lượng sản phẩm rất kém mua ve chung chu ko chay di nha m n rat khong dang tien chat luong san pham rat kem
train_011061,mẫu mã đẹp xay khá êm hi vọng bền,0,mau ma dep xay kha em hi vong ben,mẫu mã đẹp xay khá êm hi vọng bền mau ma dep xay kha em hi vong ben
train_010949,cứng quá,1,cung qua,cứng quá cung qua
train_008008,"đẹp quá shopp ạ ưng lắm luôn địu nhẹ , đẹp màu hường kute mà chắc chắn dễ dùng nữa 👏👏👏👏👏 đóng gói sản phẩm chắc chắn rất đáng tiền",0,"dep qua shopp a ung lam luon diu nhe , dep mau huong kute ma chac chan de dung nua 👏👏👏👏👏 dong goi san pham chac chan rat dang tien","đẹp quá shopp ạ ưng lắm luôn địu nhẹ , đẹp màu hường kute mà chắc chắn dễ dùng nữa 👏👏👏👏👏 đóng gói sản phẩm chắc chắn rất đáng tiền dep qua shopp a ung lam luon diu nhe , dep mau huong kute ma chac chan de dung nua 👏👏👏👏👏 dong goi san pham chac chan rat dang tien"
train_005004,dây không dám lắp âm tường chỉ lắp những chỗ đơn giản thôi dây cứng vỏ nhựa cách điên mỏng,1,day khong dam lap am tuong chi lap nhung cho don gian thoi day cung vo nhua cach dien mong,dây không dám lắp âm tường chỉ lắp những chỗ đơn giản thôi dây cứng vỏ nhựa cách điên mỏng day khong dam lap am tuong chi lap nhung cho don gian thoi day cung vo nhua cach dien mong
train_000382,nhựa rất dày gói hàng đảm bảo ship rất nhanh,0,nhua rat day goi hang dam bao ship rat nhanh,nhựa rất dày gói hàng đảm bảo ship rất nhanh nhua rat day goi hang dam bao ship rat nhanh
train_009441,"giày đẹp ,chất lượng ok",0,"giay dep ,chat luong ok","giày đẹp ,chất lượng ok giay dep ,chat luong ok"
train_011638,bấm tóc lọn quá nhỏ thanh làm tóc ngắn lược chải uốn tóc khi quấn rồi nhả ra phải quấn lại ngược chiều quá bất tiện,1,bam toc lon qua nho thanh lam toc ngan luoc chai uon toc khi quan roi nha ra phai quan lai nguoc chieu qua bat tien,bấm tóc lọn quá nhỏ thanh làm tóc ngắn lược chải uốn tóc khi quấn rồi nhả ra phải quấn lại ngược chiều quá bất tiện bam toc lon qua nho thanh lam toc ngan luoc chai uon toc khi quan roi nha ra phai quan lai nguoc chieu qua bat tien
